schemaname,table_name,estimated_row_count
public,devices,664
public,customers,393
public,services,331
auth,refresh_tokens,205
auth,sessions,161
auth,mfa_amr_claims,161
auth,schema_migrations,75
realtime,schema_migrations,68
storage,migrations,57
public,inventory,26
realtime,subscription,11
public,messages,10
public,tickets,4
public,auto_response_rules,3
auth,flow_state,2
auth,users,2
auth,identities,2
public,social_connections,2
public,house_calls,1
public,vendor_repairs,1
public,settings,1
public,brand_settings,1
public,website_settings,1
public,profiles,1
realtime,messages_2026_03_07,0
auth,custom_oauth_providers,0
auth,oauth_client_states,0
auth,sso_domains,0
realtime,messages,0
public,sales,0
auth,saml_providers,0
realtime,messages_2026_03_03,0
auth,oauth_consents,0
auth,instances,0
realtime,messages_2026_03_02,0
storage,objects,0
storage,s3_multipart_uploads_parts,0
realtime,messages_2026_03_04,0
auth,mfa_challenges,0
storage,vector_indexes,0
realtime,messages_2026_03_06,0
auth,saml_relay_states,0
auth,audit_log_entries,0
realtime,messages_2026_03_05,0
public,social_posts,0
storage,buckets,0
public,appointments,0
storage,buckets_analytics,0
realtime,messages_2026_03_01,0
auth,mfa_factors,0
vault,secrets,0
auth,oauth_authorizations,0
auth,oauth_clients,0
auth,sso_providers,0
public,social_sync_log,0
public,social_interactions,0
storage,buckets_vectors,0
storage,s3_multipart_uploads,0
auth,one_time_tokens,0